Date,Type,Link
2020-12-17 07:09:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744967527341850624
2020-12-16 18:12:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6744976757763424256?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6744976757763424256%2C6744977232227311616%29
2020-12-16 18:01:23,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6744976757763424256
2020-12-16 11:37:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744934557742587905
2020-12-16 07:27:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6744602795917275136?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6744602795917275136%2C6744841855113977856%29
2020-12-16 07:21:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744866868043014144
2020-12-15 18:12:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744635657269972992
2020-12-15 18:10:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6744602795917275136
2020-12-15 18:08:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744528528261332993?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6744528528261332993%2C6744655119020896256%29
2020-12-15 09:45:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744528528261332993?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6744528528261332993%2C6744540538076225536%29
2020-12-15 09:09:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744528528261332993?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6744528528261332993%2C6744537413470830593%29
2020-12-15 09:09:09,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744528528261332993
2020-12-15 08:03:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744522275262926848
2020-12-15 08:00:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744320669951045632
2020-12-15 07:40:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744088979278241792
2020-12-13 17:54:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6743894127823400960
2020-12-13 11:20:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6743808708721070081
2020-12-12 16:34:26,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6743440375744135168
2020-12-11 16:27:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741745573327712256
2020-12-11 16:26:34,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6743164681004888064
2020-12-11 16:22:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6743099648573005824
2020-12-09 18:41:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742419048929267712
2020-12-09 18:41:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742486518486630400
2020-12-09 08:31:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741603671634649088
2020-12-09 08:28:41,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739712955383918592
2020-12-09 04:57:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742079297613246464
2020-12-09 04:55:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739162160712314880
2020-12-09 04:54:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741763354295197696
2020-12-09 04:46:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742090877784604672
2020-12-08 14:32:16,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742060738925387776
